"landmark_alias","landmark_fk"
"Maxxi Atacado",1453
"Árvore da academia",1454
"Uunidade de Pronto Atendimento - UPA",1455
"Yázigi",1458
"Shop Motel",1459
"Escola Municipal Dr. Chateaubriand",1461
"Redecompras",1464
"Bloco AE (Ginásio de Esportes - UFCG)",1465
"Casa do Lanche",1466
"Banco Itaú",1484
"Teatro Facisa",1491
"Banco do Brasil Estilo",1497
"Posto Viaduto",1500
"Bloco CT (UFCG)",1501
"Cerast",1502
"Igreja Nossa Senhora de Fátima",1503
"praça dos pneus",1512
"Vitamilho",1516
"Posto Fechine",1519
"Praça Cônsul Joseph Noujaim Habib Nacad",1521
"Bodódromo Bar e Restaurante",1524
"João Carga d'Água",1528
"Biblioteca Central (UFCG)",1529
"Colégio Motiva",1531
"Laboratório de Sistemas Distribuidos (UFCG)",1533
"EMBRAPA",1535
"Residencial Bons Amigos III",1536
"Palazzo Roberto Pinto",1540
"Margem do Canal da Ramadinha",1548
"Posto do Eraldo",1549
"PSF Adalberto Cesar",1550
"Bloco CD (UFCG)",1552
"Baiba Espetinho",1553
"ESTUFA (UFCG)",1558
"Estacionamento do Shopping Luiza Mota",1562
"Parque do Povo",1567
"Loft54",1569
"Pousada Granville",1570
"Campo O Madrugão",1573
"Estádio Renato Cunha Lima",1576
"Estacionamento - Setor A",1578
"Metrologia (UFCG)",1582
"ARBORIZAÇÃO AO REDOR DO CAMPO DE FUTEBOL",1583
"Central de Aulas",1587
"Santander",1591
"Vila Linha Férrea",1593
"Banco do Brasil Estilo",1594
"Vison Locadora",1596
"Presídio do Monte Santo",1602
"Shopping Luiza Motta",1609
"Bloco BM (UFCG)",1611
"Banco do Brasil",1612
"Canal da UFCG",1615
"Bloco CA (UFCG)",1621
"IECOM (UFCG)",1624
"Sala de Aula 07",1629
"4",1630
"Parque infantil",1635
"Supermecado Econômico",1642
"Bloco CX / CX1 (UFCG)",1643
"Apta - Assistência Pós Vida",1645
"Vila Ramadinha",1647
"Estacionamento",1648
"Bloco BB (UFCG)",1650
"Praça José Américo",1662
"Casa mãe Ailton",1668
"Bloco de Física",1671
"Juscelino Kubitshek",1672
"Polícia Rodoviária Federal",1677
"Barbearia Tropeiros",1679
"Posto Santo António",1681
"Campo Santo Parque da Paz",1683
"Hospital Antônio Targino",1684
"Margem do Canal da Ramadinha",1691
"Posto Laís XVI",1694
"Clube Campestre",1696
"Metallouça Indústria de Produtos Metalúrgicos do Nordeste SA",1697
"Bloco BQ (UFCG)",1698
"Bar do Evandro",1700
"Restaurante do Sosthenis",1702
"Central de aulas",1703
"Bar do Federal",1704
"Canal das Três Irmãs",1705
"Pague Menos",1708
"Auditório Ana Cláudia Mousinho Lucena",1709
"Panificadora Point das Massas",1711
"6",1712
"Praça Cônsul Joseph Noujaim Habib Nacad",1714
"Show Bar",1716
"Parquinho.",1720
"Posto Monumento",1722
"Bloco CK (UFCG)",1723
"Centro de Humanidade (UFCG)",1729
"igreja sao judas tadeu",1731
"Companhia de Água e Esgotos da Paraíba - CAGEPA",1733
"Gerdau",1735
"Banco do Brasil",1737
"Bonna Pizza",1752
"TRE",1755
"Benvenuto Residenziale",1757
"Virtus",1758
"Shopping Pátio Cidade Nova",1763
"Jackson do Pandeiro",1769
"Departamento Estadual de Transito - DETRAN",1774
"3",1778
"Parada Obrigatória",1781
"Rio Bodocongó",1783
"Vila 3 Irmãos",1789
"Condominio Flamboyant",1797
"ÁREA VERDE",1803
"Afonso Bike",1804
"Caixa",1810
"Korpus Academia",1813
"Bloco CH (UFCG)",1821
"Fit Club",1836
"Jose Galdino Pereira",1839
"Bloco BV (UFCG)",1845
"bar da bisteca",1846
"Sariema Novos e Seminovos",1851
"TABACARIA DO TITO",1852
"Caixa Econômica Federal",1853
